                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.39387,                      0,                      0,                      0,               0.070011,              0.0033321,              0.0033321
                      1,                  0.091,                      0,                      0,                      0,               0.039351,              0.0060055,              0.0060055
                      2,                 0.0524,                      0,                      0,                      0,              0.0080315,               0.008019,               0.008019
                      3,                0.03739,                      0,                      0,                      0,                0.00703,                0.00703,                0.00703
                      4,                0.02658,                      0,                      0,                      0,                0.00703,                0.00703,                0.00703
                      5,                0.01858,                      0,                      0,                      0,                0.00604,                0.00604,                0.00604
                      6,                0.01306,                      0,                      0,                      0,                0.00505,                0.00505,                0.00505
                      7,                0.00824,                      0,                      0,                      0,                0.00406,                0.00406,                0.00406
                      8,                0.00579,                      0,                      0,                      0,                0.00307,                0.00307,                0.00307
                      9,                0.00338,                0.97992,                      1,                0.84441,                0.00208,                0.00208,                0.00208
